Tipo_Noticia,Texto,Classificação,Percentual_Negativa,Percentual_Positiva,Percentual_Neutra,Data_Cadastro
Mudanças Climáticas,cerrado passa por estudos detalhados sobre variabilidade climatica pesquisadores estao analisando como variacoes climaticas naturais estao influenciando a biodiversidade no cerrado especies nativas estao sendo observadas quanto a adaptacao aos periodos de seca e chuvas intensas os padroes climaticos naturais sao complexos mas entender suas nuances nos ajuda a proteger esse ecossistema unico comentou beatriz lopes climatologista os resultados dos estudos devem ajudar a criar politicas de manejo mais eficazes,Neutra,64.88,31.91,-3.21,2025-05-03 00:00:00
Tecnologia Ambiental,comunidades rurais implementam novas tecnicas de agricultura sustentavel em varias regioes do brasil comunidades rurais tem adotado tecnicas agricolas inovadoras para aumentar a produtividade sem comprometer o meio ambiente metodos como rotacao de culturas e uso de fertilizantes naturais estao sendo testados com sucesso essas praticas sao promissoras para harmonizar sustentabilidade e producao agricola explicou andre souza especialista em agroecologia o impacto a longo prazo dessas abordagens ainda esta sendo avaliado,Neutra,65.27,32.96,-1.77,2025-05-03 00:00:00
Poluição,niveis criticos de poluicao do ar atingem grandes centros urbanos no brasil um levantamento recente mostrou que a poluicao do ar em varias metropoles brasileiras alcancou niveis criticos ameacando a saude da populacao e causando danos aos ecossistemas urbanos fabricas veiculos e queima de residuos sao apontados como os principais responsaveis estamos observando um aumento significativo de doencas respiratorias ligadas a ma qualidade do ar alertou larissa mendes pneumologista a situacao demanda acoes urgentes para reduzir as emissoes e melhorar a fiscalizacao ambiental,Negativa,63.65,32.59,-3.76,2025-05-03 00:00:00
Conservação,exploracao ilegal ameaca reservas ambientais na amazonia relatorios indicam que a exploracao ilegal de minerios e madeira esta avancando em areas protegidas da amazonia causando destruicao generalizada em territorios de preservacao comunidades indigenas tambem relatam invasoes crescentes em suas terras essas atividades ilegais estao colocando em risco a integridade de ecossistemas criticos disse rafael souza pesquisador ambiental grupos de conservacao exigem maior vigilancia e punicao para combater esse problema,Negativa,64.44,32.62,-2.94,2025-05-03 00:00:00
Poluição,degradacao do solo avanca em regioes agricolas do brasil estudos revelam que o uso intensivo da terra e a falta de praticas agricolas sustentaveis estao causando uma rapida degradacao do solo em importantes regioes agricolas brasileiras o fenomeno reduz a produtividade prejudica o meio ambiente e ameaca a seguranca alimentar se essa tendencia continuar enfrentaremos serias dificuldades na producao de alimentos explicou marina ferreira engenheira agronoma especialistas pedem a implementacao de politicas para promover a conservacao do solo,Negativa,32.53,64.92,-2.55,2025-05-03 00:00:00
Conservação,brasil amplia a protecao de unidades de conservacao o brasil anunciou a criacao de cinco novas unidades de conservacao totalizando mais de 15 milhao de hectares protegidos essas areas foram designadas para proteger ecossistemas sensiveis e fortalecer a biodiversidade,Positiva,32.78,64.69,-2.53,2025-05-03 00:00:00
Tecnologia Ambiental,cidades brasileiras adotam transportes publicos sustentaveis capitais como sao paulo e curitiba tem liderado a adocao de transportes publicos sustentaveis com onibus eletricos e infraestrutura para bicicletas essas iniciativas estao reduzindo a emissao de poluentes e promovendo qualidade de vida para os moradores transporte limpo e essencial para um futuro sustentavel afirmou carlos vieira urbanista a populacao tem respondido positivamente aproveitando alternativas eficientes e ecologicas,Positiva,63.8,32.85,-3.35,2025-05-03 00:00:00
Tecnologia Ambiental,projetos de energia solar atingem comunidades rurais no brasil comunidades rurais brasileiras estao se beneficiando de projetos de energia solar que oferecem eletricidade a vilarejos isolados essas iniciativas estao melhorando a qualidade de vida reduzindo custos e promovendo energia limpa agora podemos estudar a noite e utilizar equipamentos que antes eram impossiveis celebrou maria santos moradora de uma dessas comunidades o sucesso do programa esta incentivando a expansao para outras regioes,Positiva,32.49,65.03,-2.48,2025-05-03 00:00:00
Restauração Ecológica,estudo avalia impacto de ventos fortes na regeneracao da floresta amazonica pesquisadores tem observado como ventos fortes em determinadas areas da amazonia afetam a dispersao de sementes e contribuem para a regeneracao florestal em algumas regioes especies de arvores especificas estao prosperando enquanto outras apresentam crescimento mais lento essas dinamicas naturais mostram como a floresta encontra formas de se regenerar mesmo diante de desafios explicou marcos silva ecologo os resultados ajudam a planejar iniciativas de conservacao mais eficazes,Neutra,32.03,64.03,-3.94,2025-05-03 00:00:00
Biodiversidade,mudancas nos padroes de migracao de aves no brasil intrigam cientistas ornitologos estao investigando alteracoes nos padroes de migracao de aves em diversas partes do brasil enquanto algumas especies tem ampliado suas rotas outras estao preferindo areas mais proximas de seus habitats originais e essencial entender essas mudancas ja que elas podem indicar transformacoes maiores nos ecossistemas comentou helena ribeiro biologa as pesquisas continuam para aprofundar o conhecimento sobre esses fenomenos,Neutra,32.17,64.52,-3.32,2025-05-03 00:00:00
Tecnologia Ambiental,agricultores e pesquisadores colaboram em iniciativas de manejo de solo em regioes agricolas do brasil parcerias entre agricultores e cientistas tem gerado dados valiosos sobre praticas sustentaveis de manejo do solo metodos como plantio direto e cultivo em consorcio estao sendo avaliados em diferentes contextos climaticos queremos combinar praticas tradicionais com ciencia para garantir uma producao que respeite o meio ambiente destacou joao almeida agronomo os resultados iniciais mostram promessas de maior produtividade com menor impacto ambiental,Neutra,65.44,31.9,-2.67,2025-05-03 00:00:00
Poluição,aumento de residuos eletronicos desafiam sistemas de reciclagem no brasil o brasil enfrenta um crescimento alarmante na producao de residuos eletronicos com descarte inadequado que impacta gravemente o meio ambiente equipamentos como celulares e computadores tem contribuido para a poluicao de solos e cursos dagua a falta de politicas efetivas para lidar com residuos eletronicos esta criando um problema serio para o futuro ambiental do pais afirmou patricia moraes especialista em gestao de residuos organizacoes pressionam por solucoes mais eficazes para enfrentar essa crise,Negativa,32.28,64.99,-2.72,2025-05-03 00:00:00
Queimadas,queimadas em areas rurais preocupam comunidades locais regioes rurais do brasil tem registrado um aumento significativo em queimadas resultando na destruicao de habitats naturais e na emissao de grandes quantidades de gases poluentes agricultores relatam prejuizos e dificuldades para lidar com os impactos essas queimadas afetam nao apenas o meio ambiente mas tambem a sustentabilidade das comunidades locais alertou carlos oliveira ambientalista fiscalizacao e educacao sao apontadas como essenciais para reduzir essas praticas,Negativa,33.06,66.52,-0.42,2025-05-03 00:00:00
Poluição,pesquisas indicam queda no nivel dos aquiferos brasileiros estudos recentes mostram que importantes aquiferos do brasil como o aquifero guarani estao apresentando reducao nos niveis de agua devido ao uso excessivo e a falta de manejo sustentavel esse cenario ameaca a disponibilidade de recursos hidricos para comunidades e ecossistemas estamos vendo uma reducao preocupante que pode ter consequencias graves no longo prazo explicou julia mendes hidrologa especialistas destacam a urgencia de estrategias para protecao e uso consciente dessas reservas,Negativa,63.73,32.87,-3.4,2025-05-03 00:00:00
Tecnologia Ambiental,brasil bate recorde no uso de energias renovaveis em sua matriz energetica o brasil alcancou um marco historico ao atingir 90 de sua matriz energetica proveniente de fontes renovaveis com investimentos macicos em energia solar eolica e hidreletrica o pais se posiciona como lider global em solucoes sustentaveis para a geracao de energia esse avanco reflete um compromisso nacional com a protecao ambiental e a reducao de emissoes de carbono destacou sofia almeida especialista em energia limpa a iniciativa tambem gerou milhares de empregos verdes e impulsionou economias locais,Positiva,64.01,32.79,-3.21,2025-05-03 00:00:00
Restauração Ecológica,reflorestamento na amazonia recupera mais de 1 milhao de hectares projetos de reflorestamento na floresta amazonica conduzidos em parceria entre governo e organizacoes locais restauraram mais de 1 milhao de hectares de areas degradadas o esforco inclui o plantio de arvores nativas e iniciativas de agrofloresta que beneficiam comunidades da regiao estamos reconstruindo o equilibrio ecologico da amazonia e garantindo um futuro para as proximas geracoes afirmou marcos tavares coordenador do projeto a acao tambem promove a conscientizacao ambiental nas escolas locais,Positiva,65.08,32.84,-2.07,2025-05-03 00:00:00
Conservação,parques nacionais do brasil registram aumento no turismo sustentavel parques nacionais brasileiros como o parque nacional da chapada dos veadeiros e o parque nacional do iguacu tem registrado um aumento significativo no turismo sustentavel as visitas impulsionam economias locais e promovem a educacao ambiental entre turistas o ecoturismo e uma ferramenta poderosa para conectar as pessoas a natureza e incentivar sua preservacao disse carolina lima guia ambiental o sucesso dessas iniciativas reforca a importancia de proteger as areas naturais do pais,Positiva,32.6,63.57,-3.83,2025-05-03 00:00:00
Biodiversidade,pesquisadores avaliam resiliencia de plantas do cerrado frente as mudancas climaticas um estudo recente esta analisando como plantas do bioma cerrado estao se adaptando as mudancas climaticas naturais pesquisadores identificaram que algumas especies conseguem manter ciclos de crescimento estaveis enquanto outras estao ajustando suas estrategias de sobrevivencia entender essa resiliencia natural nos ajuda a planejar estrategias de conservacao eficazes afirmou amanda ribeiro ecologa os resultados sao promissores para o manejo sustentavel do bioma,Neutra,31.48,65.36,-3.17,2025-05-03 00:00:00
Poluição,impactos de aguas pluviais no meio ambiente urbano sao monitorados especialistas tem investigado como as aguas pluviais estao afetando o meio ambiente urbano no brasil o estudo avalia tanto beneficios como aumento da vegetacao urbana quanto desafios como alagamentos e erosao de solos monitorar esses impactos e essencial para garantir um planejamento urbano que integre sustentabilidade e desenvolvimento explicou jose nogueira engenheiro ambiental as analises continuarao ao longo das proximas estacoes chuvosas,Neutra,65.44,32.01,-2.55,2025-05-03 00:00:00
Biodiversidade,estudo explora transformacoes naturais em rios da amazonia pesquisadores estao acompanhando alteracoes naturais nos leitos dos rios amazonicos provocadas por movimentos de sedimentos e mudancas no fluxo de agua esses fenomenos influenciam a distribuicao de especies aquaticas e a saude geral dos ecossistemas observar esses processos nos ajuda a compreender melhor a dinamica natural da amazonia comentou beatriz cardoso especialista em recursos hidricos o trabalho oferece informacoes valiosas para projetos de preservacao fluvial,Neutra,31.85,64.85,-3.29,2025-05-03 00:00:00
Outros,as noticias sobre desmatamento nao sao nem boas e nem ruins,Neutra,-1.19,31.24,67.57,2025-05-03 00:00:00
Outros,noticias sobre desmatamento nao variam entre positivo e negativo,Neutra,31.59,-2.09,66.32,2025-05-03 00:00:00
Outros,noticias sobre desmatamento sao neutras,Neutra,-3.17,30.55,66.28,2025-05-03 00:00:00
Mudanças Climáticas,temperaturas permanecem estaveis em diversas regioes do pais,Neutra,65.3,30.5,0.2,2025-05-03 00:00:00
Outros,volume de vendas do comercio varejista mantemse igual ao do mes anterior,Neutra,67.8,29.1,0.0,2025-05-03 00:00:00
Outros,populacao urbana cresce em ritmo semelhante ao do ano passado,Neutra,66.5,31.0,-0.1,2025-05-03 00:00:00
Poluição,nivel dos reservatorios de agua permanece constante,Neutra,68.2,29.0,0.1,2025-05-03 00:00:00
Outros,exportacoes brasileiras ficam no mesmo patamar do trimestre anterior,Neutra,65.0,32.5,0.0,2025-05-03 00:00:00
Outros,mercado de trabalho apresenta estabilidade no numero de vagas,Neutra,67.1,30.8,-0.2,2025-05-03 00:00:00
Outros,producao industrial registra variacao minima em abril,Neutra,66.7,31.3,0.0,2025-05-03 00:00:00
Outros,setor de turismo mantem numeros semelhantes aos de 2024,Neutra,66.1,32.0,0.1,2025-05-03 00:00:00
Mudanças Climáticas,volume de chuvas em maio ficou proximo da media historica,Neutra,68.5,29.2,-0.1,2025-05-03 00:00:00
Outros,pesquisa aponta que habitos alimentares permanecem inalterados,Neutra,65.8,31.7,0.0,2025-05-03 00:00:00
Outros,investimentos em infraestrutura seguem em ritmo moderado,Neutra,66.2,30.9,0.0,2025-05-03 00:00:00
Outros,taxa de natalidade apresenta pequena variacao em relacao ao ano anterior,Neutra,67.4,29.8,0.1,2025-05-03 00:00:00
Poluição,consumo de energia eletrica se mantem estavel no primeiro semestre,Neutra,68.0,30.0,0.0,2025-05-03 00:00:00
Outros,trafego de veiculos nas rodovias federais nao apresenta mudancas significativas,Neutra,66.9,31.2,0.0,2025-05-03 00:00:00
Outros,preco medio da cesta basica permanece quase inalterado,Neutra,67.2,30.7,0.2,2025-05-03 00:00:00
Outros,nivel de alfabetizacao entre jovens segue o mesmo do ultimo ano,Neutra,66.5,32.0,-0.1,2025-05-03 00:00:00
Outros,frequencia escolar entre criancas se mantem estavel,Neutra,67.6,29.9,0.0,2025-05-03 00:00:00
Outros,demanda por imoveis residenciais continua semelhante ao trimestre passado,Neutra,68.1,28.7,0.1,2025-05-03 00:00:00
Outros,producao agricola registra leve estabilidade no volume colhido,Neutra,65.9,32.2,0.0,2025-05-03 00:00:00
Outros,empresas mantem quadro de funcionarios sem grandes alteracoes,Neutra,66.3,31.5,0.0,2025-05-03 00:00:00
Queimadas,novidades sobre queimadas estaveis,Neutra,-4.18,27.68,68.14,2025-05-03 00:00:00
Restauração Ecológica,programa de reflorestamento supera meta anual,Positiva,72.5,24.8,3.5,2025-05-03 00:00:00
Outros,nivel de emprego atinge o maior patamar da decada,Positiva,74.1,22.9,4.0,2025-05-03 00:00:00
Outros,numero de estudantes universitarios cresce pelo terceiro ano seguido,Positiva,73.2,23.5,3.8,2025-05-03 00:00:00
Outros,indice de vacinacao infantil atinge 95 da populacao alvo,Positiva,75.0,22.0,4.2,2025-05-03 00:00:00
Tecnologia Ambiental,novas tecnologias aumentam a producao agricola em 10,Positiva,71.8,25.0,3.2,2025-05-03 00:00:00
Poluição,queda nos indices de poluicao em grandes centros urbanos,Positiva,73.5,24.1,3.6,2025-05-03 00:00:00
Tecnologia Ambiental,producao de energia renovavel bate recorde historico,Positiva,76.2,20.8,5.0,2025-05-03 00:00:00
Outros,programa de alfabetizacao reduz analfabetismo em areas rurais,Positiva,74.6,22.4,4.5,2025-05-03 00:00:00
Outros,investimentos em saude publica crescem 15 em um ano,Positiva,72.9,24.0,3.7,2025-05-03 00:00:00
Políticas Públicas,novas politicas de protecao ambiental sao implementadas com sucesso,Positiva,75.3,21.7,4.8,2025-05-03 00:00:00
Poluição,melhora na qualidade da agua potavel em comunidades isoladas,Positiva,73.7,23.6,4.0,2025-05-03 00:00:00
Tecnologia Ambiental,projetos de energia solar chegam a regioes remotas,Positiva,71.5,26.0,3.0,2025-05-03 00:00:00
Outros,indice de seguranca publica sobe para o melhor nivel em 5 anos,Positiva,74.4,22.7,4.3,2025-05-03 00:00:00
Outros,reformas em escolas publicas elevam desempenho dos alunos,Positiva,73.0,24.2,3.5,2025-05-03 00:00:00
Outros,queda no numero de casos de doencas respiratorias,Positiva,72.8,24.6,3.4,2025-05-03 00:00:00
Tecnologia Ambiental,pais registra recorde na geracao de empregos verdes,Positiva,75.8,21.2,5.2,2025-05-03 00:00:00
Outros,taxa de evasao escolar diminui consideravelmente,Positiva,73.9,23.0,4.1,2025-05-03 00:00:00
Políticas Públicas,projeto de reciclagem comunitaria reduz lixo em 20,Positiva,72.0,25.0,3.0,2025-05-03 00:00:00
Outros,acordo internacional impulsiona exportacao de produtos organicos,Positiva,74.2,22.9,4.0,2025-05-03 00:00:00
Outros,avanco da medicina permite diagnostico precoce de doencas raras,Positiva,76.0,21.0,5.0,2025-05-03 00:00:00
Desmatamento,desmatamento na amazonia cresce pelo segundo mes consecutivo,Negativa,62.5,34.2,-5.5,2025-05-04 00:00:00
Outros,taxa de desemprego sobe e atinge 12 da populacao,Negativa,63.8,32.0,-4.8,2025-05-04 00:00:00
Outros,indice de violencia urbana aumenta nas capitais,Negativa,61.9,35.0,-6.0,2025-05-04 00:00:00
Outros,producao industrial recua pelo quarto mes seguido,Negativa,62.7,33.5,-5.2,2025-05-04 00:00:00
Outros,queda no volume de exportacoes preocupa setor agricola,Negativa,64.1,31.7,-4.7,2025-05-04 00:00:00
Poluição,poluicao do ar atinge niveis criticos em grandes cidades,Negativa,63.5,32.8,-5.0,2025-05-04 00:00:00
Poluição,falta de chuvas gera alerta em reservatorios de agua,Negativa,62.3,34.5,-5.4,2025-05-04 00:00:00
Outros,aumento no numero de casos de doencas infecciosas,Negativa,63.0,33.0,-5.0,2025-05-04 00:00:00
Outros,greve de caminhoneiros paralisa principais rodovias do pais,Negativa,61.7,35.3,-6.2,2025-05-04 00:00:00
Outros,preco dos alimentos basicos sobe acima da inflacao,Negativa,62.9,33.7,-5.3,2025-05-04 00:00:00
Outros,acidentes de transito crescem 8 em areas urbanas,Negativa,63.2,33.5,-5.1,2025-05-04 00:00:00
Outros,projetos sociais sofrem cortes de orcamento,Negativa,62.6,34.0,-5.5,2025-05-04 00:00:00
Outros,construcao civil registra queda no numero de novos empreendimentos,Negativa,63.4,32.5,-4.9,2025-05-04 00:00:00
Outros,retirada de programas de incentivo afeta pequenas empresas,Negativa,64.0,31.8,-4.7,2025-05-04 00:00:00
Outros,indice de analfabetismo volta a subir em regioes afastadas,Negativa,61.8,35.2,-6.1,2025-05-04 00:00:00
Outros,despejos aumentam em areas urbanas vulneraveis,Negativa,62.1,34.7,-5.8,2025-05-04 00:00:00
Queimadas,incendios florestais ameacam biodiversidade local,Negativa,63.6,32.9,-5.0,2025-05-04 00:00:00
Mudanças Climáticas,perda de areas agricolas devido a seca severa,Negativa,62.4,34.3,-5.6,2025-05-04 00:00:00
Outros,queda no investimento estrangeiro preocupa economistas,Negativa,63.9,32.1,-4.8,2025-05-04 00:00:00
Outros,greve dos professores compromete o calendario escolar,Negativa,61.5,35.5,-6.3,2025-05-04 00:00:00
Outros,clima permanece estavel em grande parte do pais,Neutra,67.1,32.4,0.5,2025-05-04 00:00:00
Outros,preco da gasolina mantem estabilidade durante o mes,Neutra,66.8,32.7,0.3,2025-05-04 00:00:00
Outros,setor bancario mantem projecoes para o segundo semestre,Neutra,67.5,31.8,0.4,2025-05-04 00:00:00
Outros,producao industrial se mantem em linha com o mes anterior,Neutra,66.4,33.0,0.2,2025-05-04 00:00:00
Outros,trafego urbano permanece dentro da media historica,Neutra,66.6,32.9,0.1,2025-05-04 00:00:00
Mudanças Climáticas,temperatura media anual segue sem grandes variacoes,Neutra,67.3,32.0,0.5,2025-05-04 00:00:00
Poluição,consumo de energia eletrica apresenta leve estabilidade,Neutra,66.7,32.6,0.3,2025-05-04 00:00:00
Outros,inflacao permanece dentro da meta estabelecida,Neutra,67.0,32.5,0.2,2025-05-04 00:00:00
Outros,comercio varejista mantem vendas estaveis no trimestre,Neutra,66.9,32.7,0.1,2025-05-04 00:00:00
Outros,indice de confianca empresarial mantemse estavel,Neutra,67.2,32.3,0.4,2025-05-04 00:00:00
Outros,taxa de natalidade permanece semelhante a dos anos anteriores,Neutra,66.5,33.1,0.3,2025-05-04 00:00:00
Outros,balanca comercial registra leve superavit,Neutra,67.4,32.1,0.5,2025-05-04 00:00:00
Poluição,consumo de combustiveis segue no mesmo patamar,Neutra,66.3,33.2,0.2,2025-05-04 00:00:00
Outros,setor hoteleiro registra movimentacao regular,Neutra,67.1,32.4,0.3,2025-05-04 00:00:00
Outros,ocupacao de hospitais se mantem estavel,Neutra,66.6,32.9,0.4,2025-05-04 00:00:00
Poluição,nivel de agua em rios principais segue dentro da media,Neutra,67.3,32.0,0.5,2025-05-04 00:00:00
Outros,frequencia escolar permanece estavel nas redes publicas,Neutra,66.8,32.7,0.3,2025-05-04 00:00:00
Outros,consumo de alimentos basicos mantem padrao,Neutra,67.0,32.5,0.2,2025-05-04 00:00:00
Outros,utilizacao da capacidade industrial permanece inalterada,Neutra,66.7,32.6,0.2,2025-05-04 00:00:00
Outros,setor automotivo registra mes dentro da expectativa,Neutra,67.5,31.8,0.4,2025-05-04 00:00:00
Outros,programa de inclusao digital beneficia milhares de familias,Positiva,75.5,21.0,4.8,2025-05-04 00:00:00
Outros,indice de vacinacao contra gripe atinge 90 da populacao,Positiva,76.1,20.5,5.2,2025-05-04 00:00:00
Outros,novos investimentos estrangeiros aquecem economia local,Positiva,74.8,22.1,4.5,2025-05-04 00:00:00
Tecnologia Ambiental,projetos de energia limpa ganham forca no pais,Positiva,75.2,21.5,4.7,2025-05-04 00:00:00
Outros,proposta de reducao de impostos e aprovada no congresso,Positiva,73.9,23.0,4.2,2025-05-04 00:00:00
Outros,tratamento experimental mostra eficacia contra cancer raro,Positiva,76.4,20.2,5.5,2025-05-04 00:00:00
Outros,taxa de alfabetizacao alcanca niveis historicos,Positiva,74.6,22.3,4.6,2025-05-04 00:00:00
Outros,comercio online cresce 12 no trimestre,Positiva,73.7,23.2,4.0,2025-05-04 00:00:00
Outros,numero de doacoes de sangue aumenta 15 no mes,Positiva,75.0,21.8,4.9,2025-05-04 00:00:00
Políticas Públicas,campanhas de conscientizacao ambiental ganham adesao em massa,Positiva,74.2,22.5,4.4,2025-05-04 00:00:00
Outros,parcerias internacionais fomentam pesquisa cientifica,Positiva,75.1,21.7,4.8,2025-05-04 00:00:00
Outros,indice de qualidade da educacao basica melhora significativamente,Positiva,76.0,20.8,5.0,2025-05-04 00:00:00
Restauração Ecológica,recuperacao de areas degradadas avanca em ritmo acelerado,Positiva,74.5,22.4,4.5,2025-05-04 00:00:00
Outros,recorde de publico em eventos culturais nacionais,Positiva,73.5,23.5,4.0,2025-05-04 00:00:00
Outros,empresas locais registram aumento de faturamento,Positiva,74.9,22.0,4.7,2025-05-04 00:00:00
Políticas Públicas,acoes de sustentabilidade sao ampliadas em zonas urbanas,Positiva,75.3,21.6,4.9,2025-05-04 00:00:00
Outros,politicas publicas reduzem desigualdade social,Positiva,76.2,20.4,5.3,2025-05-04 00:00:00
Outros,novas linhas de credito facilitam abertura de pequenas empresas,Positiva,74.7,22.2,4.6,2025-05-04 00:00:00
Tecnologia Ambiental,acesso a internet em areas rurais cresce 18,Positiva,75.4,21.1,5.0,2025-05-04 00:00:00
Outros,programa nacional de merenda escolar e ampliado,Positiva,73.8,23.1,4.1,2025-05-04 00:00:00
Queimadas,queimada ilegal devasta reserva florestal,Negativa,61.2,36.5,-6.5,2025-05-04 00:00:00
Outros,taxa de evasao escolar volta a crescer em zonas rurais,Negativa,62.0,35.0,-5.8,2025-05-04 00:00:00
Poluição,contaminacao por metais pesados e detectada em rios,Negativa,62.8,34.2,-5.4,2025-05-04 00:00:00
Outros,surtos de dengue aumentam em varias regioes,Negativa,63.5,33.0,-5.0,2025-05-04 00:00:00
Outros,desemprego entre jovens atinge recorde historico,Negativa,61.5,36.0,-6.0,2025-05-04 00:00:00
Outros,aumento no preco do gas de cozinha impacta familias,Negativa,62.3,34.8,-5.6,2025-05-04 00:00:00
Outros,colapso no sistema de transporte publico em metropoles,Negativa,63.2,33.5,-5.1,2025-05-04 00:00:00
Outros,queda nos investimentos em educacao preocupa especialistas,Negativa,62.7,34.1,-5.2,2025-05-04 00:00:00
Outros,alagamentos causam transtornos em bairros perifericos,Negativa,61.8,35.5,-6.2,2025-05-04 00:00:00
Desmatamento,crescimento de areas desmatadas ameaca biodiversidade,Negativa,63.0,34.0,-5.3,2025-05-04 00:00:00
Outros,explosao em fabrica deixa feridos na zona industrial,Negativa,61.9,35.2,-6.1,2025-05-04 00:00:00
Outros,roubos a bancos aumentam 12 em regioes metropolitanas,Negativa,62.4,34.7,-5.7,2025-05-04 00:00:00
Outros,inflacao acima da meta impacta mercado financeiro,Negativa,63.1,33.4,-5.0,2025-05-04 00:00:00
Outros,queda na producao agricola eleva precos de alimentos,Negativa,62.5,34.5,-5.5,2025-05-04 00:00:00
Outros,apagoes eletricos deixam cidades sem fornecimento de energia,Negativa,61.6,36.3,-6.4,2025-05-04 00:00:00
Queimadas,incendios em areas urbanas crescem durante o verao,Negativa,63.3,33.2,-5.1,2025-05-04 00:00:00
Outros,aumento da violencia domestica durante a pandemia,Negativa,62.1,35.1,-5.9,2025-05-04 00:00:00
Outros,enchentes desabrigam milhares de familias,Negativa,61.4,36.6,-6.7,2025-05-04 00:00:00
Poluição,contaminacao em reservatorios ameaca abastecimento,Negativa,62.2,34.9,-5.8,2025-05-04 00:00:00
Outros,falha em barragem causa alagamento em cidade vizinha,Negativa,61.7,36.1,-6.3,2025-05-04 00:00:00
Queimadas,queimada ilegal destroi reserva ambiental habitat de especies em perigo de extincao,Negativa,67.35,27.61,-5.04,2025-05-04 00:00:00
Outros,mercado financeiro opera sem grandes oscilacoes,Neutra,67.0,32.8,0.2,2025-05-04 00:00:00
Outros,nivel de desemprego permanece inalterado em junho,Neutra,66.5,33.0,0.1,2025-05-04 00:00:00
Outros,volume de vendas no varejo registra pequena estabilidade,Neutra,66.9,32.7,0.2,2025-05-04 00:00:00
Outros,tempo permanece nublado na maior parte da semana,Neutra,67.1,32.5,0.1,2025-05-04 00:00:00
Outros,producao agricola se mantem proxima a previsao inicial,Neutra,66.8,32.9,0.3,2025-05-04 00:00:00
Outros,indice de endividamento das familias pouco se altera,Neutra,66.7,32.8,0.2,2025-05-04 00:00:00
Outros,patrimonio liquido dos bancos continua estavel,Neutra,67.2,32.6,0.3,2025-05-04 00:00:00
Outros,consumo de carne bovina se mantem constante no trimestre,Neutra,67.0,32.8,0.1,2025-05-04 00:00:00
Outros,transporte aereo apresenta leve variacao,Neutra,66.6,33.1,0.2,2025-05-04 00:00:00
Outros,producao cultural nacional segue no mesmo patamar,Neutra,67.1,32.7,0.3,2025-05-04 00:00:00
Mudanças Climáticas,queda de temperatura prevista e considerada comum para a estacao,Neutra,66.9,32.8,0.1,2025-05-04 00:00:00
Outros,fluxo de turistas se mantem regular em destinos nacionais,Neutra,67.2,32.5,0.2,2025-05-04 00:00:00
Outros,atividade industrial apresenta ritmo semelhante ao mes passado,Neutra,67.0,32.7,0.2,2025-05-04 00:00:00
Outros,balanco de importacoes nao indica grandes mudancas,Neutra,66.7,33.0,0.1,2025-05-04 00:00:00
Poluição,uso de agua em grandes cidades mantemse estavel,Neutra,67.1,32.6,0.2,2025-05-04 00:00:00
Outros,nivel de educacao superior continua em linha com anos anteriores,Neutra,66.8,32.9,0.2,2025-05-04 00:00:00
Outros,taxa de juros basica nao sofre alteracoes,Neutra,66.5,33.2,0.1,2025-05-04 00:00:00
Outros,ocupacao hoteleira segue igual ao ano anterior,Neutra,67.3,32.4,0.3,2025-05-04 00:00:00
Outros,rotatividade no mercado de trabalho permanece nos mesmos niveis,Neutra,66.9,32.8,0.2,2025-05-04 00:00:00
Outros,atividade do setor logistico se estabiliza apos meses de alta,Neutra,67.2,32.5,0.2,2025-05-04 00:00:00
Outros,novos centros culturais sao inaugurados em varias cidades,Positiva,75.3,21.6,4.8,2025-05-04 00:00:00
Outros,investimentos em educacao aumentam pelo quarto ano consecutivo,Positiva,76.0,20.8,5.1,2025-05-04 00:00:00
Outros,cientistas brasileiros desenvolvem vacina promissora,Positiva,76.5,20.1,5.6,2025-05-04 00:00:00
Outros,emprego formal registra alta pelo sexto mes seguido,Positiva,74.8,22.0,4.7,2025-05-04 00:00:00
Conservação,indice de preservacao ambiental bate recorde,Positiva,75.5,21.2,5.0,2025-05-04 00:00:00
Restauração Ecológica,parques publicos recebem melhorias e novas areas verdes,Positiva,74.3,22.4,4.5,2025-05-04 00:00:00
Outros,indice de satisfacao dos consumidores sobe 8 no trimestre,Positiva,75.1,21.7,4.8,2025-05-04 00:00:00
Outros,taxas de criminalidade caem nas principais capitais,Positiva,75.7,21.1,5.2,2025-05-04 00:00:00
Outros,programas sociais reduzem indice de fome,Positiva,76.2,20.4,5.4,2025-05-04 00:00:00
Outros,campanhas de vacinacao atingem meta antecipadamente,Positiva,74.9,21.9,4.9,2025-05-04 00:00:00
Outros,produtividade agricola supera expectativas,Positiva,75.2,21.5,4.7,2025-05-04 00:00:00
Outros,numero de startups cresce 25 no pais,Positiva,74.5,22.3,4.6,2025-05-04 00:00:00
Outros,queda nos precos dos alimentos basicos e registrada,Positiva,75.6,21.3,5.1,2025-05-04 00:00:00
Outros,exportacoes brasileiras atingem novo recorde anual,Positiva,76.0,20.8,5.0,2025-05-04 00:00:00
Outros,acesso a saude publica melhora em areas remotas,Positiva,75.1,21.7,4.9,2025-05-04 00:00:00
Outros,programa de habitacao popular entrega milhares de casas,Positiva,75.8,21.0,5.2,2025-05-04 00:00:00
Políticas Públicas,indice de saneamento basico cresce nas regioes norte e nordeste,Positiva,74.7,22.2,4.6,2025-05-04 00:00:00
